feature,importance_mean,importance_std,importance_pct,factor_type,importance_rank,sdoh_rank
education_less_than_9th_pct,0.0,0.0,0.0,SDOH,6,1
education_9th_to_12th_no_diploma_pct,0.0,0.0,0.0,SDOH,7,2
digital_with_computer_pct,0.0,0.0,0.0,SDOH,8,3
housing_rent_35_plus_pct,0.0,0.0,0.0,SDOH,9,4
households_without_vehicle_count_sum,0.0,0.0,0.0,SDOH,12,5
digital_with_broadband_pct,0.0,0.0,0.0,SDOH,13,6
housing_crowded_1_01_to_1_50_pct,0.0,0.0,0.0,SDOH,14,7
housing_crowded_1_51_plus_pct,0.0,0.0,0.0,SDOH,15,8
housing_rent_30_to_34_9_pct,0.0,0.0,0.0,SDOH,16,9
straight_low_access_population_beyond_1mi_10mi_count_sum,0.0,0.0,0.0,SDOH,17,10
straight_no_vehicle_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,18,11
straight_snap_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,19,12
low_income_tract_tract_count,0.0,0.0,0.0,SDOH,21,13
driving_low_income_low_access_tract_count,0.0,0.0,0.0,SDOH,22,14
driving_low_vehicle_access_tract_count,0.0,0.0,0.0,SDOH,23,15
straight_low_income_low_access_tract_count,0.0,0.0,0.0,SDOH,24,16
straight_low_vehicle_access_tract_count,0.0,0.0,0.0,SDOH,25,17
places_cholesterol_screening_pct,0.0,0.0,0.0,SDOH,27,18
snap_households_count_sum,0.0,0.0,0.0,SDOH,29,19
driving_low_access_population_beyond_1mi_10mi_count_sum,0.0,0.0,0.0,SDOH,30,20
driving_no_vehicle_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,31,21
driving_snap_households_beyond_1mi_count_sum,0.0,0.0,0.0,SDOH,32,22
places_routine_checkup_pct,0.0,0.0,0.0,SDOH,39,23
places_uninsured_pct,0.0,0.0,0.0,SDOH,46,24
